,itemid,count,label
1642,119,2153,Cervical Collar Type
1643,225690,11452,Total Bilirubin
1644,7210,1,Phenylephrine nose s
1645,5829,1,"ABG, Io CA"
1646,7185,1,lt av fistula bruit
1647,2870,1,ICP-ventriculostomuy
1648,3828,159,Vancomycin Pre
1649,101,1652,CT #2 [Fluctuate]
1650,339,2973,Imp Skin Cleanse #2
1651,6644,2,QVar
1652,224327,1411,PCA medication
1653,224153,526,Replacement Rate
1654,4472,5,Hep B immunization
1655,82,26918,Braden Activity
1656,224643,480,Manual Blood Pressure Diastolic Left
1657,2672,1,fentanyl mg/hr
1658,1043,11407,Less Restrict Meas.
1659,1048,35,zzzn Management
1660,2308,2,FEM ALINE
1661,225323,1071,Dialysis Catheter Site Appear
1662,5940,1,Ileostomy care
1663,213,176,Heart Sounds
1664,3079,1,high volume
1665,4679,2,KPHOS
1666,227845,157,Rolling
1667,7332,1,pressure support
1668,5015,13,vidaylin
1669,6224,1,Tank-b
1670,5772,1,FLAP TEMP/COLOR
1671,4208,12,Bath + Shampoo
1672,4192,27,zzzzth in Centimeter
1673,226063,2271,Venous O2 Pressure
1674,4201,1422,pCO2 (cap)
1675,223771,181,PCWP
1676,4298,3,umbi site
1677,224000,17661,Nares R
1678,373,40,ImpSkin #6 [Width]
1679,8157,2,3x antibiotic oint
1680,227604,93,Impaired Skin Odor #9
1681,1864,1,HFO-Max mean airway
1682,1945,1,LLcalf w->d drsg chg
1683,223838,9201,ETT Location
1684,8469,1603,LLE [Sensation]
1685,1587,3,xigris mg/hr
1686,227127,103,Indwelling (PortaCath) Port #1
1687,1578,49,HI/Minute/Vol
1688,3509,1897,Mode
1689,1920,1,GT Care
1690,220072,6013,Central Venous Pressure Alarm - High
1691,3351,1072,Car Safety Seat Screen [Remark]
1692,225019,650,Incision Drainage Amount #3
1693,226707,11811,Height
1694,220051,9562,Arterial Blood Pressure diastolic
1695,2050,2,Low MV
1696,227867,187,Activity O2 Sat - Aerobic Capacity
1697,224753,2288,Temporary Atrial Sens Setting mV
1698,3380,65,Cry
1699,2479,1,INTRATHECAL CATHL2-3
1700,2877,2,trach collar trial
1701,7193,1,NEPHRO TUBE
1702,5703,2,FEM ART S/D
1703,2902,1,T4  (NML 4.6- 12.0)
1704,1335,1,Tacrolimus
1705,6862,1,bed rotation on/off
1706,5470,5,Pneumogram
1707,3452,793,Head US
1708,220180,21685,Non Invasive Blood Pressure diastolic
1709,523,182,Pain Level (Movemnt)
1710,3810,3118,Total CO2
1711,1742,13,QTC
1712,1871,1,versed 400mg/100ml
1713,1829,1,autosigh
1714,1984,1,abd/bldr press
1715,526,19820,Pain Management [Route/Status #1]
1716,5503,1,L nare
1717,559,556,Pressure Sore #2 [Drainage]
1718,1914,2,Cpap
1719,3553,11,Ostomy Bag Change
1720,5557,2,peri pad
1721,227968,14713,All Medications Tolerated without Adverse Side Effects
1722,2673,2,aprotanin
1723,178,416,Epidural Bolus
1724,225770,302,Sheath Waveform Appear
1725,225409,2,VNA / home infusion
1726,227187,675,Pinsp (Draeger only)
1727,812,27,HCO3
1728,1926,1,5.Paroxysmal sweats
1729,227947,7975,Reason for Restraint (Non-violent)
1730,5974,1,Nitric Dioxide
1731,227469,99,Thrombin
1732,3326,373,Babygram
1733,1768,1,nasal cannula
1734,5115,4,bactroban
1735,224150,529,Filter Pressure
1736,8375,333,CT #3 [Leak]
1737,6607,1,Vitamin A IM
1738,6948,1,Multipodos
1739,6130,1,Hi min vent
1740,3402,139,ETT Sx Quality
1741,4625,40,Nystatin ointment
1742,228311,46,GI #3 Tube Place Check
1743,4607,5,tylenol
1744,224834,2506,Temporary Ventricular Sens
1745,1927,1,6.visual Disturbanc
1746,6443,1,AMONIA
1747,223999,21789,Oral Cavity
1748,227681,638,Less Restrictive Measures_V1
1749,227655,1,Reflexes UE
1750,2396,1,MIVED VENOUS O2 SAT
1751,763,19413,Daily Weight
1752,3450,5307,HR Alarm [Low]
1753,6919,1,index
1754,686,998,Total PEEP Level
1755,3463,46,Hydrocortisone
1756,5795,1,URETERAL STENT.
1757,226764,14,HrApacheIIValue
1758,223834,17644,O2 Flow
1759,1847,3,CIWA scale
1760,4297,2,Na bicarb
1761,146,495,Dialysate Flow ml/hr
1762,4622,24,miconazole powder
1763,224775,3490,CT #1 Leak
1764,193,819,Flatus
1765,5960,1,vitamin A
1766,8554,17330,SpO2 Alarm [High]
1767,2049,1,HI TIDAL VOLUME
1768,7225,2,PLow
1769,853,1433,Uric Acid (2.7-7.0)
1770,2021,1,Seizure Precautions
1771,5113,3,Calciferol
1772,8287,2,trach press
1773,4936,2,Nystatin Oint.
1774,8146,1,R VAC/L VAC
1775,5777,1,Cyclomydril eye drop
1776,227466,20645,PTT
1777,226745,15,APACHE II Predecited Death Rate
1778,5280,1,flowrate cc's
1779,223873,10132,Paw High
1780,2462,1,cisatacurium mcg/k/m
1781,1736,1,hi/min/vent
1782,2092,1,T deconnect
1783,3608,2,Root Reflex
1784,5973,1,R hand infiltrate
1785,104,342,CT #3 Drainage
1786,1858,7,cisatracurium
1787,3070,1,Nicardipine (mg/h)
1788,226112,375,Midline placed in outside facility
1789,533,9,Peak Flow (Pred)
1790,4678,2,Atropine Oint.
1791,5669,2,gent oint.
1792,1317,2,DEMEROL
1793,2910,1,R drain flush
1794,4212,7,HEPARIN FLUSH
1795,7074,625,NeoBlue Bank
1796,3475,20,Infant ABO/Rh
1797,6540,1,IntraABd pressure
1798,228018,17,RIC Infiltration Scale
1799,1527,1443,Direct Bili
1800,5248,7,glycerine suppos.
1801,5968,1,AF fistula T/B
1802,297,21536,IV #2 [Site]
1803,6830,1,Ostomy dsg change
1804,228017,19,RIC Phlebitis Scale
1805,7928,1,glucagon mg/hr
1806,400,4369,Inc #3 [Dressing]
1807,5218,1,Heparin/PIC flush
1808,473,3775,O2AVI
1809,8452,30,PT Splint #3 [Status]
1810,8477,13742,Sputum [Amount]
1811,5969,1,IV infiltrate
1812,819,5,Lidocaine
1813,6021,1,(R) nephrostomy
1814,7085,1,driving pr
1815,1723,3,HIGH EXHALE MV
1816,6303,1,Pigtail dressing
1817,228376,105,Stroke Volume Variation (SVV NICOM)
1818,813,27410,Hematocrit
1819,223966,258,Transcutaneous Pacer Placement
1820,3581,4533,Present Weight  (lb)
1821,227441,136,LDL measured
1822,6538,2,tpn
1823,227835,303,UE Dressing
1824,5961,1,PT Eval
1825,228343,2385,OCAT - Lips Tongue Gums Palate
1826,227983,26,Neuro Drain #2 Drainage
1827,970,67,TRACH CARE
1828,224176,217,MDI #3 Drug
1829,6852,2,nausea
1830,225664,16937,Glucose finger stick
1831,224917,944,Impaired Skin Length #3
1832,7620,1,BP Rt. Arm Mean
1833,6451,15,Phigh
1834,1632,64,PMV
1835,2747,1,CHECK L ARM BRUIT
1836,1903,2,OOB TO CHAIR
1837,806,6907,Fibrinogen (150-400)
1838,6503,1,moves legs well
1839,6415,1,Tri-Visol
1840,4264,1,Shunt Site
1841,6577,2,Myconizol Powder
1842,590,7469,RL Strength/Movement
1843,5954,1,ileostomy appearance
1844,579,1877,PressureReduceDevice
1845,1734,12,TOF
1846,1628,1,Percussive vest
1847,3393,830,Disease State
1848,123,4114,Chest Tube Site #2
1849,1463,2,pad count
1850,6444,1,Fissure
1851,1917,1,Urine Na+
1852,6149,2,PeCO2
1853,3118,1,THORACIC EXTENSION
1854,8489,141,Ulnar Pulse [Left]
1855,5391,1,ligation incision
1856,8409,213,ImpSkin #5 [Amount]
1857,2789,7,MAMMARY SUPPORT
1858,800,10260,Differential-Polys
1859,8360,1,Trans pul exp.
1860,1530,18821,INR
1861,3796,178,Ptt
1862,1429,810,Insomnia
1863,224646,166,Orthostatic BPs sitting
1864,1865,1,HFO-Min mean airway
1865,6246,1,SAFETY OFFICER
1866,6932,1,exh. ve
1867,228233,463,PAR-Remain sedated
1868,8522,1153,IV #2 [Location]
1869,4685,1,Zantac(Ranitidine)
1870,2988,1,ORAL AIRWAY
1871,404,604,Inc/Wound Packing #1
1872,4925,3,Amoxicillan
1873,6011,1,P Hi
1874,227951,8011,Circulation/Skin Integrity
1875,224328,1403,PCA dose
1876,2079,2,Nitric tank psi
1877,224992,85,Undermining Present #8
1878,6032,1,TRACH CUFF TAKENDOWN
1879,547,26456,Position
1880,4175,7864,Admit Reason
1881,2863,1,DEEP BREATH&COUGH
1882,224058,21806,Braden Nutrition
1883,227944,17799,Side Rails
1884,578,14043,Pressure Support
1885,224329,1397,PCA lockout (min)
1886,1892,23,BED BATH
1887,7338,1,Domeboro soak
1888,1699,848,GI Tube #2 [Site]
1889,6305,1,freeform alarm
1890,224373,10262,Sputum Amount
1891,556,320,PressSore Depth #2
1892,1123,1,dsg change to coccyx
1893,3226,1,%cool mist
1894,7731,1,Femoral site
1895,5035,146,Glycerin Suppository
1896,2858,1,RT ABD GRAFT PULSE
1897,3838,1457,pO2 (other)
1898,227636,42,Knee Location - CPM
1899,7802,1,high peep
1900,2114,1,Assess Peak Flow
1901,566,191,PressSoreCleansing#3
1902,225133,6645,Discharge needs
1903,5705,1,j-tube flush
1904,695,9,Tract/Imm Location#3
1905,228393,2364,Bath
1906,4513,15,sponge bath
1907,3594,15,Racemic Epi MiniNeb
1908,2078,1,Nitric Oxide ppm
1909,6293,1,APRV LOW
1910,6330,10,Bed rotation
1911,3209,7,P LOW
1912,224968,351,Pressure Ulcer Stage #5
1913,220650,694,Total Protein
1914,224090,597,Knee Immobilizer Status
1915,7449,1,ECMO flow
1916,1698,9062,GI Tube #1 [Site]
1917,8449,1650,Patient controlled analgesia (PCA) [Attempt]
1918,224769,16165,LUE Temp
1919,6285,1,right nephrost irrig
1920,2372,1,FICK CO
1921,4478,4,triple antibiotic
1922,5292,2,Propranolol
1923,227121,18276,Pupil Response Right
1924,4753,2184,pH (Art)
1925,5309,4,180 degree turn
1926,2338,2,finger stick glucose
1927,610,15138,Removed x 5 Mins
1928,782,7,Bleeding Time
1929,6110,1,xygris
1930,287,578,INV#5 WaveformAppear
1931,224662,1784,Current Used/mA
1932,226979,7,Admission location
1933,2800,1,ACE WRAP RIGHT LEG
1934,2730,3,CAMINO
1935,227964,202,Reason for Restraint (Violent)
1936,5793,1,DTR
1937,5003,1,prednisolone
1938,1630,4,podis boots
1939,5012,13,glycerin suppository
1940,3454,397,Heptavax
1941,1056,8,chest pt
1942,1607,1,Disconnect alarm
1943,2656,2,SOLUMEDROL MG/KG/HR
1944,5901,2,"Lytes,Bili"
1945,1672,1,MEAN AIRWAY PRESS
1946,5346,1,atropine drops
1947,6114,2,LUMBAR DRAIN
1948,224920,199,Impaired Skin Length #6
1949,2349,2,APROTONIN U/HR
1950,2983,1,solumedrol mg/hr
1951,181,431,Epidural Total Dose
1952,224429,42,CT #4 Crepitus
1953,224372,9826,Sputum Source
1954,228204,4,Tandem Heart Access Line Catheter Length
1955,5848,1,disconnect
1956,1412,1,fentanyl iv
1957,8527,188,MAWP Alarm [High]
1958,2535,1,flap check
1959,367,98,ImpSkin Wound Base#6
1960,1701,129,GI Tube #3 [Status]
1961,4579,4,Hydralazine
1962,220045,21924,Heart Rate
1963,5835,2,Hep B vac
1964,5698,1,Vi-Day-Lin
1965,3400,1528,ETT Size
1966,4353,46,hep flush
1967,983,2,LEECH THERAPY
1968,3364,10,Chest Tube Site 2
1969,4340,67,Hep B vaccine
1970,4647,3,normal saline bolus
1971,3556,1140,PIP Alarm
1972,8197,2,Triple AB ointment
1973,7339,1,leech therapy
1974,3042,1,LEFT FEM ABP
1975,4311,20,glycerin
1976,690,1636,Trach Size
1977,2305,12,aprotinin
1978,3793,179,ProTime
1979,4268,1,left head dsg.
1980,112,47,CT #4 Suction Amount
1981,8474,6752,Responds to Stimuli [Value]
1982,1499,20,high min. vol
1983,4750,10,Hyperoxia test
1984,3201,1,Methylhemaglobin
1985,223910,5692,Follows Commands
1986,5934,1,R arm sensation
1987,224942,358,Impaired Skin Treatment #7
1988,227671,975,Non-Violent Restraints
1989,224457,16,PT Splint Location #3
1990,3669,5289,Turgor
1991,7052,1,Vit. A
1992,7531,2,baby vitamins
1993,7018,1,ecmo fio2
1994,1484,18441,Risk for Falls
1995,1211,202,Insp Time %
1996,2098,1,BariAir Auto Turn
1997,1460,1,D5W 100meq NaHC03
1998,224453,3,Traction/Immobile Location #3
1999,7243,1,R ax fem bpg pulse
2000,1706,1871,Ventricular Pacemaker Sense [mV]
2001,4371,3,Criticaid cream
2002,1491,5,apnea time
2003,227350,2519,Cordis/Introducer Dressing Occlusive
2004,226130,254,ICP Line Site Appear
2005,227988,6443,Pronator drift present
2006,224169,2707,MDI #1 Puff
2007,227847,133,Sit to Stand
2008,5563,1,HIGH MINUTE VOLUMER
2009,225331,171,Tunneled (Hickman) Site Appear
2010,600,11,RVAD Flow LPM
2011,1561,2,APRV T LOW
2012,1930,1,9.agitation
2013,5057,1,NEONATAL MORPHINE
2014,227037,4,PH_ApacheIV
2015,225413,5,Skilled nursing facility
2016,435,135,Low Exhaled Vt
2017,3067,3,FEM MAP
2018,2626,1,wound gel to coccyx
2019,3200,1,High Minute Volume m
2020,6070,1,Full Skeletal X-Ray
2021,7672,1,Foley
2022,6596,1,Acety42gm/1L-mg/kg/h
2023,5128,1,Zantac pg
2024,227582,509,BiPap O2 Flow
2025,589,2184,RCWI
2026,6793,1,02 ANALYZED
2027,3285,1,ROTATION ON/OFF
2028,6018,2,PIC line placed
2029,3517,36,Murmur Description
2030,6119,7,caffeine load
2031,3072,1,IRON  45-160
2032,223830,13211,PH (Arterial)
2033,7654,1,mucomyst mg/hr
2034,1941,1,Total CIWA
2035,3120,1,L AVF-BRUIT/THRILL
2036,2989,1,APOTININ CC/HR
2037,3340,5060,Bruising [Existence]
2038,52,17018,Arterial BP Mean
2039,3471,80,IV Site #5
2040,366,339,ImpSkin Wound Base#5
2041,2585,2,chest PT
2042,2981,2,FiO2
2043,224895,560,Impaired Skin Depth #2
2044,5723,1,Caffiene Bolus
2045,2476,1,rectal tube deflate
2046,440,2682,MDI #2 [Puff]
2047,8455,178,Popliteal Pulse [Left]
2048,4761,8,ORL consult
2049,6672,1,APRV T lo
2050,2027,2,Low pressure
2051,225768,32,Sheath Line Tip Cultured
2052,2045,1,icp left
2053,2775,1,sjph
2054,85,26917,Braden Moisture
2055,5032,19,bili
2056,8204,1,triple antibx
2057,5839,1,eye movements
2058,3277,1,NICARDIPINE--MG/HR
2059,3339,5603,Breath Sounds [R]
2060,4739,20,prune juice
2061,6556,7,Prednisolone drops
2062,4315,3,Gent
2063,32,26838,Activity Tolerance
2064,227950,8301,Restraint Location
2065,1382,75,bedbath
2066,5333,2,saline flush
2067,1381,1,ARGATROBAN
2068,1452,1,#1 chest tube irrig.
2069,546,200,Popliteal Pulse [Right]
2070,6537,4,Ketamine
2071,3686,5224,Void
2072,227290,518,CRRT mode
2073,1537,98,Thrombin
2074,3218,1,TCPCV Driving Press.
2075,227378,24547,Patient Location
2076,6931,1,ECMO Flow L/min
2077,226748,15,APACHEII-Renal failure
2078,1505,1,Palmer Pulses R/L
2079,8170,1,trach postion/stoma
2080,224423,1804,CT #2 Crepitus
2081,225239,135,14 Gauge Reason Discontinued
2082,6145,1,Fem Art BP
2083,227948,8138,Restraint Device (Non-violent)
2084,5732,1,FEMORAL ABP S/D
2085,2406,1,mouth flap pulse
2086,7771,1,AUTO-ROTATION
2087,4400,1,cefotoxime
2088,637,26124,Side Rails
2089,5401,1,Gentamycin gtts OU
2090,5694,3,Abdominal ultrasound
2091,1602,7,hepa filter
2092,4518,2,Tent
2093,2762,1,R SHEATH
2094,225638,4135,Differential-Bands
2095,225090,5725,Interpreter
2096,443,586,Manual BP Mean(calc)
2097,4568,84,circ site
2098,416,75,Incision/Wound #6
2099,4833,1,SaO2 (post)
2100,7232,2,Peakflow
2101,6033,4,wound care
2102,427,1462,LUE [Temp]
2103,1658,60,driving pressure
2104,5983,1,Fungal Blood cx
2105,3373,6861,Color (Overall)
2106,4256,85,Cefotaxime
2107,3192,2,BUMEX MG/HR
2108,8289,2,Mucomyst       mg/hr
2109,377,900,Impaired Skin Site#4
2110,5626,7,Vidalyn
2111,2527,1,HFO-Bias Flow (lpm)
2112,1517,9639,Readmit <48 hrs
2113,184,27188,Eye Opening
2114,24,77,ART Lumen Volume
2115,7988,1,Inhaled Nitric Oxide
2116,1639,230,High MV
2117,224712,262,Recruitment Mode
2118,7887,1,Hand perfusion
2119,4551,1,Triple ABX cream
2120,227666,1516,Immobilizer Location
2121,8465,153,Pressure Sore #3 [Length]
2122,6522,3,T-high
2123,3502,208,Mean PAW
2124,456,26428,NBP Mean
2125,728,81,Vision Mask
2126,4362,33,Prune Juice
2127,7349,6,Dexamethasone
2128,7454,7,Driving P
2129,8444,242,Orthostat BP sitting [Diastolic]
2130,2074,9,AV Fistula
2131,2731,1,Femoral ABP
2132,5792,1,left  lower leg cast
2133,6612,1,flowvent MDI
2134,3637,25,Suck
2135,3776,1,Mix Venous Sat
2136,1052,1,rocuronium
2137,7717,1,peripheral sat
2138,6584,1,HumR SSI
2139,224436,456,CT #3 Suction Amount
2140,224933,1141,Impaired Skin Site #5
2141,256,807,INV Line#5SiteAppear
2142,216,2397,Height of Bed
2143,3078,1,alarm/high minute vl
2144,8373,5987,CT #1 [Leak]
2145,228177,84,CI (PiCCO)
2146,3036,6,P HIGH
2147,2714,1,DO2 INDEX
2148,6587,1,Heliox total flow
2149,8518,5307,HR Alarm [High]
2150,8307,1,Left neprhrostomy
2151,225117,6666,Unable to assess nutrition / education
2152,809,472,Gentamycin/Random
2153,7114,2,Ostomy bag
2154,228445,11,Angio Appearance # 3
2155,7814,1,PROTONIX 80MG/250
2156,483,141,OrthostatHR standing
2157,5892,2,tpa mg/hr
2158,1869,1,CIWA Scale
2159,224959,1990,Impaired Skin Wound Base #3
2160,5743,2,NT suction
2161,5944,1,I-Time
2162,1839,1,Multi podis boot
2163,224689,10022,Respiratory Rate (spontaneous)
2164,228234,647,PAR-Respiration
2165,2651,1,Abd Cmprtmnt Pressur
2166,225176,1868,Range of Motion Status
2167,227547,353,SV (Arterial)
2168,1501,2,FOLEY CLAMPED
2169,2757,3,KETAMINE MG/HR
2170,225210,9342,Arterial Line Zero/Calibrate
2171,3532,23,Nasal Congestion
2172,4821,1,IV Zantac
2173,2395,1,PPN/TPN
2174,7516,1,t discon
2175,228300,1486,CAM-ICU MS change
2176,542,150,Pin Care
2177,1341,1,PULSE
2178,1525,21114,Creatinine
2179,1738,28,high/min/vent
2180,2764,2,Aprotinin cc/hr
2181,8436,1444,LUE [Color]
2182,3102,1,NICARDIPINE MCQ/KG/'
2183,223760,4761,Health Care Proxy
2184,227459,3,Procan Napa
2185,6578,1,IR SHEATH ABP
2186,4483,1,Splint
2187,7655,1,security
2188,2990,1,High Tidal Vol
2189,110,49,CT #4 Dressing
2190,3522,42,NG Feedings
2191,5958,1,R) LE
2192,1342,8,fentanyl
2193,1860,1,HFO Delta P (amplt)
2194,6054,1,Neonatal bili
2195,225684,1621,Serum Osmolality
2196,227616,98,Impaired Skin Wound Base #9
2197,5704,1,g-tube flush
2198,228400,1669,Visual Field Cut
2199,4894,1,left hydrocele
2200,28,35,Abdominal Girth
2201,5576,1,Ti
2202,7882,1,L leg perfusion
2203,224639,11496,Daily Weight
2204,262,266,INV Line#6SiteAppear
2205,5871,1,SIZURE PADS
2206,2570,4,valproic acid
2207,3058,5,shaved
2208,8423,2521,Inc #2 [Amount]
2209,2053,3,high VE
2210,223901,21867,GCS - Motor Response
2211,3504,57,Midazolam/Versed
2212,1312,1,abductor pillow
2213,227242,409,Manual Blood Pressure Diastolic Right
2214,1591,21,waffle boots
2215,585,14663,Pupil Size [Right]
2216,3596,80,Reglan
2217,1684,18,APNEA
2218,6542,1,edi
2219,1862,1,HFO-Bias Flow
2220,1050,1,left thigh hematoma
2221,122,6003,Chest Tube Site #1
2222,5885,1,"Lytes,ABG,Bili"
2223,1942,1,INO Tank Press
2224,6265,1,high NO2 alarm
2225,5922,1,bleedig at meatus
2226,762,27205,Admit Wt
2227,227953,7839,Range of Motion
2228,3678,11,Vanceril MDI
2229,531,5,Peak Flow % (pred)
2230,227367,12804,18 Gauge Dressing Occlusive
2231,3449,19,Grasp
2232,224847,7466,Impaired Skin Drainage Amount #1
2233,1581,4,APRV
2234,3661,40,Tone
2235,5891,2,SSE
2236,2655,1,ALCOHOL 10%DRIP G/HR
2237,6420,1,PERICARE
2238,3742,5235,Basos
2239,8501,403,BP Alarm [High]
2240,2590,1,HI/Minute/vol/Alarm
2241,628,1707,Sedation Score
2242,8071,1,mist tent
2243,4523,2,PDA incision site
2244,227360,508,Indwelling Port (PortaCath) Dressing Occlusive
2245,5483,10,bili level
2246,3365,59,Chest Tube Suction
2247,8042,1,Immodium
2248,3399,1131,ETT Changed
2249,6482,1,t hi
2250,225695,590,Uric Acid
2251,7485,1,Maintainence IVF
2252,5621,2,DSD
2253,5727,22,Hi MV
2254,227453,10,Vancomycin (Peak)
2255,5710,2,inital bath
2256,6043,1,surface cultures
2257,7423,1,Flovent Puffs
2258,5528,4,Dexamethasone nasal
2259,1310,3,FINGERSTICK GLUCOSE.
2260,7120,1,OGT Sugar level
2261,2664,1,INO alarms
2262,3425,1583,FeSO4
2263,185,1876,FIO2 Alarm-High
2264,226774,14,RRApacheIIValue
2265,228312,38,GI #3 Tube Place Method
2266,225280,7635,Called Out
2267,5906,701,Analgesic
2268,5063,2,Tobramycin
2269,545,7763,Plateau-Off
2270,6237,1,Cap gas
2271,4795,13,nystatin
2272,487,628,Ostomy [Type]
2273,7845,1,I time set
2274,1510,18,high Ve
2275,6641,1,Heliox flow
2276,224994,928,Incision Appearance #3
2277,7631,2,Gent ointment
2278,227357,1060,Dialysis Catheter Dressing Occlusive
2279,4901,2,SKIN
2280,3476,5205,Infant Position
2281,1730,1,RIBAVIRIN RX
2282,1696,2561,Atr Stim Thresh mA
2283,2280,4,1:1 sitter
2284,7565,1,Cont EEG
2285,2984,1,Camino Bolt
2286,4806,6,Gentamycin
2287,227119,427,Epidural Location
2288,227989,12,Intra Cranial Pressure #2
2289,224032,12188,Impaired Skin Site #1
2290,4385,4,metoclopramide
2291,831,45,Procan
2292,2450,6,CLOT IN BLOOD BANK
2293,6637,1,VIT A INJ
2294,228298,7111,Daily Wake Up
2295,8059,1,TANK PRES NO
2296,3551,1757,Oral Sx Quantity
2297,8555,473,Arterial BP #2 [Diastolic]
2298,1198,1,HFO Frq. (Hz)
2299,446,5451,Micro-Neb Treatment
2300,155,37,Doppler BP
2301,2935,7,P Low
2302,4249,9,IPV
2303,223934,21478,Dorsal PedPulse R
2304,434,14725,Low Exhaled Min Vol
2305,5263,1,STOMA
2306,6525,1,TOF level
2307,227356,505,Sheath Line Dressing Occlusive
2308,1115,24,passey muir valve
2309,227022,7,LOS pre-ICU admission
2310,6197,2,cap gas
2311,6898,1,TRACHEA DSG
2312,225725,267,Dialysis Catheter Tip Cultured
2313,587,2,Qs/Qt
2314,1327,2,vasopressin unit/min
2315,6137,1,PEG site
2316,604,17046,Radiologic Study
2317,3348,5922,Capillary Refill
2318,1646,2,RLE drsg change
2319,2086,1,R groin angio site
2320,842,61,Theophylline
2321,3349,4,Captopril
2322,6507,1,Radial a-line
2323,6164,1,Lumbar open/clamped
2324,6410,1,Auto Rotation
2325,4855,6,Urine culture
2326,7599,3,nasal septum
2327,225023,3239,Incision Dressing #2
2328,3577,5220,Posterior Fontanelle [Texture]
2329,97,6048,CT #1 Suction Amount
2330,3325,333,BP UAC [Systolic]
2331,227812,129,Medication Infusion Rate - Adjunctive Pain Management
2332,224924,2026,Impaired Skin Odor #3
2333,2025,1,High pressure
2334,224561,11720,Impaired Skin Type #1
2335,6276,1,Critic-Aid Skin Pst
2336,3321,1023,BP Right Arm [Systolic]
2337,4972,3,erythromycin
2338,225131,9653,Teaching directed toward
2339,4457,1,Chest tube fluc
2340,5404,3,CAFFEINE LOAD
2341,220615,24063,Creatinine
2342,351,92,ImpSkin #6 [Drain]
2343,5145,1,tremors
2344,5453,1,mitrazol powder
2345,2969,1,R GROIN A LINE
2346,227727,297,AVA Line placed in outside facility
2347,5260,1,BROVIAC DSG
2348,6248,1,d51/2NSc 20meq kcl
2349,225024,895,Incision Dressing #3
2350,226995,7,ApacheIV_Natural antilog
2351,7645,1,Central line SVO2
2352,3734,5304,BANDS
2353,5055,2,gel pillow
2354,2374,1,RAD ART BP
2355,8448,6520,PAP [Diastolic]
2356,3474,341,Indomethacin/Indocin
2357,386,8309,Inc #1 [Closure]
2358,228447,11,Angio Dressing # 3
2359,8067,1,HIGH NO2
2360,224283,4621,Multi Lumen Waveform Appear
2361,224659,2,Vacuum Assist
2362,1615,3,Time Low
2363,225185,17472,Skin Care
2364,3460,1898,Humidity Temp [Meas]
2365,2095,4,Octreotide
2366,3788,10,Phenytoin  (10-20)
2367,506,14777,PEEP Set
2368,224666,137,Nasal Congestion
2369,1483,5311,RSBI Not Completed
2370,6469,1,nephostomy
2371,6112,1,left vent drain
2372,227634,208,Arctic Sun/Alsius Temp #2 C
2373,5521,3,Hyperoxia
2374,369,1543,ImpSkin #2 [Width]
2375,225342,233,IABP Zero/Calibrate
2376,5654,1,rt art line
2377,228406,1174,Motor R Arm
2378,224919,340,Impaired Skin Length #5
2379,724,93,Vision - EPAP
2380,8208,1,Postductal O2 Sat
2381,5562,1,Breath Sounds
2382,226152,28,Required documentation
2383,1413,1,midazolin iv
2384,5800,1,mushroom catheter
2385,2744,1,"ALINE, RIGHT RADIAL"
2386,4417,1,Erythro eye oint
2387,4219,19,Lasix
2388,826,171,Phenobarbital
2389,1642,1,Brachial Site
2390,1055,1,Hi/Minute/vol/alarm
2391,6134,1,esoph balloon
2392,227589,527,GI #2 Tube Place Method
2393,1652,1,MP boots
2394,1406,1,L AND R HEEL DRSG
2395,228405,1170,Motor L Leg
2396,464,619,Neuro Drain Type
2397,5849,2,Hep B vaccination
2398,7486,1,CUFF P.
2399,3578,128,Potassium Chloride
2400,1745,3,Passey Muir valve
2401,1353,2,multi podus
2402,2400,2,tidal volumes
2403,4186,7864,10 min
2404,8262,1,ketamine mg/hr
2405,3334,1,Blood Out
2406,7062,1,Mucomyst mcg/kg/min
2407,2289,1,HEPARIN
2408,7443,1,Bed Rotation.
2409,225078,10874,Social work consult
2410,228411,2608,Strength R Leg
2411,8258,1,Ursodeoxycholic Acid
2412,2964,1,left AV thrill/bruit
2413,1565,111,High MV Limit
2414,845,21,Tobramycin/Peak
2415,1323,1,high exhaled min.vol
2416,1852,2,ETT rotation
2417,2855,1,coccyx drsg
2418,224730,10852,Corneal Reflex Right
2419,4299,20,Glycerin
2420,224937,5380,Impaired Skin Treatment #2
2421,8386,259,Femoral Pulse [Left]
2422,4415,20,Ceftazidime
2423,6333,12,bed rotation
2424,6579,1,IR Sheath MAP
2425,224751,2561,Temporary Pacemaker Rate
2426,7815,1,L Leg Wound
2427,225237,4469,16 Gauge Site Appear
2428,76,4197,Bath
2429,224982,349,Tunneling Present #5
2430,227519,7,Urine output_ApacheIV
2431,406,60,Inc/Wound Packing #3
2432,225231,14704,20 Gauge Site Appear
2433,7778,1,Ptp Insp.
2434,228373,98,Passive Leg Raise Performed
2435,3646,289,Synagis
2436,8035,1,MultiPodus Boot
2437,2402,1,sp tidal volumes
2438,1960,2,High Min. Vol.
2439,227785,337,Impaired Skin  - Dressing Status #6
2440,552,665,Pressure Sore #2 [Stage]
2441,219,13782,High Resp. Rate
2442,3617,842,Skin Integrity [Attribute #1]
2443,5783,1,aprotinen cc/hr
2444,7356,1,T. low
2445,4840,2,desitin cream
2446,7544,1,evd
2447,225236,1547,16 Gauge Reason Discontinued
2448,79,509,Blood Flow ml/min
